neighbourhood,neighbourhood_group,room_type,listing_count,avg_price,median_price,avg_rating,avg_reviews_per_month
Allston,,Entire home/apt,64,281.30,245.00,4.69,2.07
Allston,,Private room,58,81.40,70.00,4.75,2.05
Back Bay,,Entire home/apt,273,311.26,275.00,4.69,1.84
Back Bay,,Hotel room,5,391.20,407.00,4.75,0.78
Back Bay,,Private room,24,462.00,463.50,4.77,2.08
Bay Village,,Entire home/apt,44,415.00,347.00,4.58,1.83
Bay Village,,Hotel room,30,44000.00,40000.00,4.64,0.41
Bay Village,,Private room,21,130.10,131.00,4.11,0.89
Bay Village,,Shared room,1,107.00,107.00,4.49,1.78
Beacon Hill,,Entire home/apt,142,218.64,162.50,4.74,1.28
Beacon Hill,,Private room,54,99.87,70.50,4.78,1.70
Beacon Hill,,Shared room,1,68.00,68.00,4.81,3.91
Brighton,,Entire home/apt,153,217.98,197.00,4.71,2.11
Brighton,,Private room,81,115.70,83.00,4.71,1.85
Charlestown,,Entire home/apt,42,365.83,275.00,4.91,1.52
Charlestown,,Private room,20,166.15,116.50,4.80,0.65
Chinatown,,Entire home/apt,28,727.93,316.00,4.78,1.49
Chinatown,,Private room,3,76.33,91.00,,
Dorchester,,Entire home/apt,237,289.05,218.00,4.77,1.93
Dorchester,,Hotel room,7,50000.00,50000.00,5.00,1.00
Dorchester,,Private room,238,81.91,72.00,4.70,1.09
Downtown,,Entire home/apt,256,385.07,332.00,4.64,3.01
Downtown,,Private room,22,307.27,294.50,4.45,4.80
East Boston,,Entire home/apt,108,296.22,218.00,4.81,3.29
East Boston,,Private room,58,99.57,90.00,4.76,3.87
Fenway,,Entire home/apt,185,283.70,255.00,4.79,2.12
Fenway,,Private room,12,485.50,224.50,4.96,7.92
Hyde Park,,Entire home/apt,39,180.05,150.00,4.79,1.23
Hyde Park,,Private room,26,95.92,72.50,4.67,0.74
Jamaica Plain,,Entire home/apt,136,334.18,264.00,4.84,1.61
Jamaica Plain,,Private room,44,100.64,99.00,4.82,1.19
Leather District,,Entire home/apt,6,233.50,235.00,4.50,0.39
Longwood Medical Area,,Entire home/apt,4,514.75,553.50,4.98,1.58
Longwood Medical Area,,Hotel room,3,50000.00,50000.00,5.00,0.63
Mattapan,,Entire home/apt,33,278.18,250.00,4.79,1.44
Mattapan,,Private room,27,96.52,88.00,4.66,0.79
Mission Hill,,Entire home/apt,50,208.66,173.00,4.65,2.21
Mission Hill,,Private room,19,76.79,65.00,4.92,0.84
North End,,Entire home/apt,84,464.73,269.00,4.72,2.35
North End,,Private room,8,106.50,53.00,4.93,2.15
Roslindale,,Entire home/apt,46,223.00,217.00,4.83,1.67
Roslindale,,Private room,39,86.49,77.00,4.81,0.92
Roxbury,,Entire home/apt,150,276.72,242.50,4.79,1.95
Roxbury,,Private room,105,69.87,60.00,4.78,1.68
Roxbury,,Shared room,1,94.00,94.00,5.00,1.00
South Boston,,Entire home/apt,94,347.96,283.00,4.79,2.15
South Boston,,Private room,49,121.06,108.00,4.48,1.10
South Boston Waterfront,,Entire home/apt,52,325.85,294.50,4.86,0.60
South Boston Waterfront,,Private room,4,544.25,568.50,4.43,1.56
South End,,Entire home/apt,196,290.45,235.00,4.78,1.69
South End,,Private room,13,195.92,179.00,4.72,1.30
West End,,Entire home/apt,30,295.63,278.00,4.34,0.73
West End,,Private room,9,173.00,90.00,4.76,0.52
West Roxbury,,Entire home/apt,36,233.50,197.00,4.90,1.57
West Roxbury,,Private room,36,130.75,79.00,4.89,1.14
